year,household_class,rev_crops,rev_livestock_sales,rev_off_farm,cost_crop_inputs,cost_storage,cost_livestock,cost_hired_labor,profit,discount_factor,discounted_profit
8,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.5131581182307065,20646.66030795336
8,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.5131581182307065,23976.543337152412
8,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.5131581182307065,18109.34999236163
9,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.4665073802097331,12663.57608948331
9,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.4665073802097331,15029.818148752129
9,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.4665073802097331,18769.691189048506
9,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.4665073802097331,18769.691189048506
9,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.4665073802097331,21796.857579229465
9,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.4665073802097331,16463.045447601482
10,HFR,17545.5,0.0,22080.0,2880.0,0.0,0.0,9600.0,27145.5,0.42409761837248455,11512.34189953028
10,HMR,23017.75,0.0,23200.0,3600.0,0.0,0.0,10400.0,32217.75,0.42409761837248455,13663.471044320115
10,MFIR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.42409761837248455,17063.35562640773
10,MMR,28234.5,0.0,29120.0,4320.0,0.0,0.0,12800.0,40234.5,0.42409761837248455,17063.35562640773
10,MMIR,36123.5,0.0,30400.0,5400.0,0.0,0.0,14400.0,46723.5,0.42409761837248455,19815.325072026782
10,MFR,22890.0,0.0,28000.0,3600.0,0.0,0.0,12000.0,35290.0,0.42409761837248455,14966.40495236498
