year,household_class,profit,discounted_profit,scenario,variant
8,MFIR,40954.5,21016.134153079467,baseline,policy_fert_subsidy
8,MMR,40954.5,21016.134153079467,baseline,policy_fert_subsidy
8,MMIR,47623.5,24438.38564356005,baseline,policy_fert_subsidy
8,MFR,35890.0,18417.244863300053,baseline,policy_fert_subsidy
9,HFR,27625.5,12887.499631983981,baseline,policy_fert_subsidy
9,HMR,32817.75,15309.722576877968,baseline,policy_fert_subsidy
9,MFIR,40954.5,19105.576502799515,baseline,policy_fert_subsidy
9,MMR,40954.5,19105.576502799515,baseline,policy_fert_subsidy
9,MMIR,47623.5,22216.714221418224,baseline,policy_fert_subsidy
9,MFR,35890.0,16742.94987572732,baseline,policy_fert_subsidy
10,HFR,27625.5,11715.908756349072,baseline,policy_fert_subsidy
10,HMR,32817.75,13917.929615343604,baseline,policy_fert_subsidy
10,MFIR,40954.5,17368.70591163592,baseline,policy_fert_subsidy
10,MMR,40954.5,17368.70591163592,baseline,policy_fert_subsidy
10,MMIR,47623.5,20197.012928562017,baseline,policy_fert_subsidy
10,MFR,35890.0,15220.86352338847,baseline,policy_fert_subsidy
1,HFR,27145.5,27145.5,drought,no_policy
1,HMR,32217.75,32217.75,drought,no_policy
1,MFIR,40234.5,40234.5,drought,no_policy
1,MMR,40234.5,40234.5,drought,no_policy
1,MMIR,46723.5,46723.5,drought,no_policy
1,MFR,35290.0,35290.0,drought,no_policy
2,HFR,23785.5,21623.181818181816,drought,no_policy
2,HMR,28017.75,25470.681818181816,drought,no_policy
2,MFIR,35194.5,31995.0,drought,no_policy
2,MMR,35194.5,31995.0,drought,no_policy
2,MMIR,40423.5,36748.63636363636,drought,no_policy
2,MFR,31090.0,28263.636363636364,drought,no_policy
3,HFR,23785.5,19657.438016528922,drought,no_policy
3,HMR,28017.75,23155.165289256194,drought,no_policy
3,MFIR,35194.5,29086.363636363632,drought,no_policy
3,MMR,35194.5,29086.363636363632,drought,no_policy
3,MMIR,40423.5,33407.85123966942,drought,no_policy
3,MFR,31090.0,25694.214876033056,drought,no_policy
4,HFR,23785.5,17870.39819684447,drought,no_policy
4,HMR,28017.75,21050.150262960175,drought,no_policy
4,MFIR,35194.5,26442.148760330572,drought,no_policy
4,MMR,35194.5,26442.148760330572,drought,no_policy
4,MMIR,40423.5,30370.77385424492,drought,no_policy
4,MFR,31090.0,23358.377160030046,drought,no_policy
5,HFR,27145.5,18540.74175261252,drought,no_policy
5,HMR,32217.75,22005.156751588,drought,no_policy
5,MFIR,40234.5,27480.70486988593,drought,no_policy
5,MMR,40234.5,27480.70486988593,drought,no_policy
5,MMIR,46723.5,31912.779181749873,drought,no_policy
5,MFR,35290.0,24103.54483983334,drought,no_policy
6,HFR,27145.5,16855.21977510229,drought,no_policy
6,HMR,32217.75,20004.687955989088,drought,no_policy
6,MFIR,40234.5,24982.458972623568,drought,no_policy
6,MMR,40234.5,24982.458972623568,drought,no_policy
6,MMIR,46723.5,29011.617437954425,drought,no_policy
6,MFR,35290.0,21912.313490757577,drought,no_policy
7,HFR,27145.5,15322.92706827481,drought,no_policy
7,HMR,32217.75,18186.079959990082,drought,no_policy
7,MFIR,40234.5,22711.3263387487,drought,no_policy
7,MMR,40234.5,22711.3263387487,drought,no_policy
7,MMIR,46723.5,26374.19767086766,drought,no_policy
7,MFR,35290.0,19920.284991597797,drought,no_policy
8,HFR,27145.5,13929.933698431641,drought,no_policy
8,HMR,32217.75,16532.79996362734,drought,no_policy
8,MFIR,40234.5,20646.66030795336,drought,no_policy
8,MMR,40234.5,20646.66030795336,drought,no_policy
8,MMIR,46723.5,23976.543337152412,drought,no_policy
8,MFR,35290.0,18109.34999236163,drought,no_policy
9,HFR,27145.5,12663.57608948331,drought,no_policy
9,HMR,32217.75,15029.818148752129,drought,no_policy
9,MFIR,40234.5,18769.691189048506,drought,no_policy
9,MMR,40234.5,18769.691189048506,drought,no_policy
9,MMIR,46723.5,21796.857579229465,drought,no_policy
9,MFR,35290.0,16463.045447601482,drought,no_policy
10,HFR,27145.5,11512.34189953028,drought,no_policy
10,HMR,32217.75,13663.471044320115,drought,no_policy
10,MFIR,40234.5,17063.35562640773,drought,no_policy
10,MMR,40234.5,17063.35562640773,drought,no_policy
10,MMIR,46723.5,19815.325072026782,drought,no_policy
10,MFR,35290.0,14966.40495236498,drought,no_policy
1,HFR,27625.5,27625.5,drought,policy_fert_subsidy
1,HMR,32817.75,32817.75,drought,policy_fert_subsidy
1,MFIR,40954.5,40954.5,drought,policy_fert_subsidy
1,MMR,40954.5,40954.5,drought,policy_fert_subsidy
1,MMIR,47623.5,47623.5,drought,policy_fert_subsidy
1,MFR,35890.0,35890.0,drought,policy_fert_subsidy
2,HFR,24265.5,22059.545454545452,drought,policy_fert_subsidy
2,HMR,28617.75,26016.136363636364,drought,policy_fert_subsidy
2,MFIR,35914.5,32649.545454545452,drought,policy_fert_subsidy
2,MMR,35914.5,32649.545454545452,drought,policy_fert_subsidy
2,MMIR,41323.5,37566.818181818184,drought,policy_fert_subsidy
2,MFR,31690.0,28809.090909090908,drought,policy_fert_subsidy
3,HFR,24265.5,20054.132231404958,drought,policy_fert_subsidy
3,HMR,28617.75,23651.033057851237,drought,policy_fert_subsidy
3,MFIR,35914.5,29681.404958677682,drought,policy_fert_subsidy
3,MMR,35914.5,29681.404958677682,drought,policy_fert_subsidy
3,MMIR,41323.5,34151.65289256198,drought,policy_fert_subsidy
3,MFR,31690.0,26190.082644628095,drought,policy_fert_subsidy
4,HFR,24265.5,18231.02930127723,drought,policy_fert_subsidy
4,HMR,28617.75,21500.93914350112,drought,policy_fert_subsidy
4,MFIR,35914.5,26983.095416979708,drought,policy_fert_subsidy
4,MMR,35914.5,26983.095416979708,drought,policy_fert_subsidy
4,MMIR,41323.5,31046.95717505634,drought,policy_fert_subsidy
4,MFR,31690.0,23809.16604057099,drought,policy_fert_subsidy
5,HFR,27625.5,18868.588211187754,drought,policy_fert_subsidy
5,HMR,32817.75,22414.964824807044,drought,policy_fert_subsidy
5,MFIR,40954.5,27972.47455774878,drought,policy_fert_subsidy
5,MMR,40954.5,27972.47455774878,drought,policy_fert_subsidy
5,MMIR,47623.5,32527.491291578437,drought,policy_fert_subsidy
5,MFR,35890.0,24513.352913052382,drought,policy_fert_subsidy
6,HFR,27625.5,17153.262010170685,drought,policy_fert_subsidy
6,HMR,32817.75,20377.24074982458,drought,policy_fert_subsidy
6,MFIR,40954.5,25429.52232522616,drought,policy_fert_subsidy
6,MMR,40954.5,25429.52232522616,drought,policy_fert_subsidy
6,MMIR,47623.5,29570.446628707665,drought,policy_fert_subsidy
6,MFR,35890.0,22284.86628459307,drought,policy_fert_subsidy
7,HFR,27625.5,15593.874554700622,drought,policy_fert_subsidy
7,HMR,32817.75,18524.764318022346,drought,policy_fert_subsidy
7,MFIR,40954.5,23117.747568387418,drought,policy_fert_subsidy
7,MMR,40954.5,23117.747568387418,drought,policy_fert_subsidy
7,MMIR,47623.5,26882.22420791606,drought,policy_fert_subsidy
7,MFR,35890.0,20258.969349630064,drought,policy_fert_subsidy
8,HFR,27625.5,14176.24959518238,drought,policy_fert_subsidy
8,HMR,32817.75,16840.694834565766,drought,policy_fert_subsidy
8,MFIR,40954.5,21016.134153079467,drought,policy_fert_subsidy
8,MMR,40954.5,21016.134153079467,drought,policy_fert_subsidy
8,MMIR,47623.5,24438.38564356005,drought,policy_fert_subsidy
8,MFR,35890.0,18417.244863300053,drought,policy_fert_subsidy
9,HFR,27625.5,12887.499631983981,drought,policy_fert_subsidy
9,HMR,32817.75,15309.722576877968,drought,policy_fert_subsidy
9,MFIR,40954.5,19105.576502799515,drought,policy_fert_subsidy
9,MMR,40954.5,19105.576502799515,drought,policy_fert_subsidy
9,MMIR,47623.5,22216.714221418224,drought,policy_fert_subsidy
9,MFR,35890.0,16742.94987572732,drought,policy_fert_subsidy
10,HFR,27625.5,11715.908756349072,drought,policy_fert_subsidy
10,HMR,32817.75,13917.929615343604,drought,policy_fert_subsidy
10,MFIR,40954.5,17368.70591163592,drought,policy_fert_subsidy
10,MMR,40954.5,17368.70591163592,drought,policy_fert_subsidy
10,MMIR,47623.5,20197.012928562017,drought,policy_fert_subsidy
10,MFR,35890.0,15220.86352338847,drought,policy_fert_subsidy
1,HFR,26345.5,26345.5,fert_shock,no_policy
1,HMR,31217.75,31217.75,fert_shock,no_policy
1,MFIR,39034.5,39034.5,fert_shock,no_policy
1,MMR,39034.5,39034.5,fert_shock,no_policy
1,MMIR,45223.5,45223.5,fert_shock,no_policy
1,MFR,34290.0,34290.0,fert_shock,no_policy
2,HFR,26345.5,23950.454545454544,fert_shock,no_policy
2,HMR,31217.75,28379.772727272728,fert_shock,no_policy
2,MFIR,39034.5,35485.90909090909,fert_shock,no_policy
2,MMR,39034.5,35485.90909090909,fert_shock,no_policy
2,MMIR,45223.5,41112.27272727273,fert_shock,no_policy
2,MFR,34290.0,31172.727272727272,fert_shock,no_policy
3,HFR,26345.5,21773.140495867767,fert_shock,no_policy
3,HMR,31217.75,25799.79338842975,fert_shock,no_policy
3,MFIR,39034.5,32259.917355371897,fert_shock,no_policy
3,MMR,39034.5,32259.917355371897,fert_shock,no_policy
3,MMIR,45223.5,37374.793388429745,fert_shock,no_policy
3,MFR,34290.0,28338.842975206608,fert_shock,no_policy
4,HFR,26345.5,19793.76408715251,fert_shock,no_policy
4,HMR,31217.75,23454.357625845223,fert_shock,no_policy
4,MFIR,39034.5,29327.19759579263,fert_shock,no_policy
4,MMR,39034.5,29327.19759579263,fert_shock,no_policy
4,MMIR,45223.5,33977.084898572495,fert_shock,no_policy
4,MFR,34290.0,25762.584522915095,fert_shock,no_policy
5,HFR,26345.5,17994.330988320464,fert_shock,no_policy
5,HMR,31217.75,21322.14329622293,fert_shock,no_policy
5,MFIR,39034.5,26661.088723447847,fert_shock,no_policy
5,MMR,39034.5,26661.088723447847,fert_shock,no_policy
5,MMIR,45223.5,30888.258998702266,fert_shock,no_policy
5,MFR,34290.0,23420.531384468268,fert_shock,no_policy
6,HFR,26345.5,16358.482716654966,fert_shock,no_policy
6,HMR,31217.75,19383.766632929935,fert_shock,no_policy
6,MFIR,39034.5,24237.353384952585,fert_shock,no_policy
6,MMR,39034.5,24237.353384952585,fert_shock,no_policy
6,MMIR,45223.5,28080.235453365694,fert_shock,no_policy
6,MFR,34290.0,21291.39216769842,fert_shock,no_policy
7,HFR,26345.5,14871.347924231788,fert_shock,no_policy
7,HMR,31217.75,17621.606029936305,fert_shock,no_policy
