year,household_class,rev_crops,rev_livestock,rev_off_farm,cost_crop_inputs,cost_livestock,cost_hired_labor,profit,discount_factor,discounted_profit
1,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,1.0,112241.92063492062
1,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,1.0,122543.02380952382
1,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,1.0,153446.33333333334
1,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,1.0,153446.33333333334
1,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,1.0,166250.74603174604
1,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,1.0,143294.12698412698
2,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.9090909090909091,102038.10966810965
2,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.9090909090909091,111402.74891774892
2,MFIR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.9090909090909091,139496.66666666666
2,MMR,0.0,222700.0,0.0,778.6666666666666,55675.0,12800.0,153446.33333333334,0.9090909090909091,139496.66666666666
2,MMIR,0.0,242004.7619047619,0.0,852.8253968253969,60501.19047619047,14400.0,166250.74603174604,0.9090909090909091,151137.04184704184
2,MFR,0.0,208047.61904761905,0.0,741.5873015873016,52011.90476190476,12000.0,143294.12698412698,0.9090909090909091,130267.38816738816
3,HFR,0.0,163395.23809523808,0.0,704.5079365079365,40848.80952380952,9600.0,112241.92063492062,0.8264462809917354,92761.91788009967
3,HMR,0.0,178221.42857142858,0.0,723.047619047619,44555.357142857145,10400.0,122543.02380952382,0.8264462809917354,101275.22628886264
